ORDEM;CAMPO;BLOCO;BLOCO_DESCRICAO;TIPO;OBRIGATORIO;DOMINIO;ORIGEM_DADO;ESTABILIDADE;DESCRICAO
7005;CAD_PERFIL_TARIFARIO;CAD;Confronto com o cadastro;texto;condicional;RESIDENCIAL | COMERCIAL | INDUSTRIAL | PUBLICO | MISTO;CADASTRO:perfil tarifario;n/a;Perfil tarifário cadastrado. Confrontado com ATV_PRESENTE, produz o gap tarifário.
7006;CAD_DELTA_ECONOMIAS;CAD;Confronto com o cadastro;inteiro;condicional;livre;DERIVADO:COL_QTD_OBSERVADA - CAD_ECONOMIAS;n/a;Observadas menos cadastradas. É o número que vira dinheiro — calculado só sobre OBSERVADO.
8001;ACT_RECOMENDACAO;ACT;Ação recomendada;texto;sim;INDIVIDUALIZAR | CRUZAR_COM_CADASTRO_COMERCIAL | VISTORIA_CONFIRMATORIA | RECLASSIFICAR | NENHUMA_ACAO;DERIVADO:delta, confiabilidade e veredito;n/a;Ação sugerida. Sugestão apoiada em evidência, nunca decisão automática.
8002;ACT_REQUER_CONFIRMACAO;ACT;Ação recomendada;texto;sim;SIM | NAO;DERIVADO:UND_NATUREZA;n/a;INFERIDO implica SIM, verificado no gate.
8003;ACT_PRIORIDADE;ACT;Ação recomendada;inteiro;condicional;1..5;DERIVADO:delta, confiabilidade e veredito;n/a;1 = maior. Deriva de delta, confiabilidade e veredito.
8004;ACT_DESTINO_CAMPO;ACT;Ação recomendada;texto;sim;ENVIAR | AMOSTRAR | RETER;DERIVADO:EVD_GRAU;n/a;"O que fazer com a linha. Deriva de EVD_GRAU: SUSTENTADA vai a campo, PLAUSIVEL entra em amostra dirigida, ESPECULATIVA fica na base e não sai para rota. Erro visível ao analista custa minutos; erro visível ao técnico custa a adoção do produto. AMOSTRAR e RETER nunca entram no export de campo (G17), e nenhum grau entra em contagem."
9001;AUD_FONTE;AUD;Auditoria e linhagem;texto;sim;<sistema>/<versão>;RCC:sistema e versao que emitiu a linha;n/a;Sistema e versão que emitiu a linha.
9002;AUD_SAFRA;AUD;Auditoria e linhagem;texto;sim;livre;RCC:safra declarada do arquivo de entrada;n/a;Safra do dado de origem.
9003;AUD_EXECUTADO_EM;AUD;Auditoria e linhagem;timestamp;sim;ISO-8601 UTC;RCC:timestamp da execucao;n/a;Momento da execução.
9004;AUD_HASH_ENTRADA;AUD;Auditoria e linhagem;texto;sim;SHA-256 (16 díg);RCC:sha256 do arquivo de entrada;n/a;Hash do arquivo de entrada. Fecha a linhagem: da linha ao byte.
